shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
On Running Cloud 5 Zinc Grey Shell (W), On, 59.98883, 140, 308, undefined, undefined, 637501711cb69837c653010e, On Running Cloud 5, Zinc/Shell, , 
On Running Cloudswift Alloy Eclipse Grey (W), On, 41.98922, 150, 321, undefined, undefined, 637501711cb69837c653010f, On Running Cloudswift, Alloy/Eclipse, , 
On Running Cloudnova Silver Orange, On, 26.99819, 160, 386, undefined, undefined, 637501711cb69837c6530110, On Running Cloudnova, Silver/Orange, , 
On Running Cloudswift Glacier Grey White (W), On, 41-99579, 150, 302, undefined, undefined, 637501711cb69837c6530111, On Running Cloudswift, Glacier/White, , 
On Running Cloud 5 Waterproof Olive Black (W), On, 59.98836, 170, 249, undefined, undefined, 637501711cb69837c6530112, On Running Cloud 5 Waterproof, Olive/Black, , 
On Running Cloud 5 Ruby Rust, On, 59.98558, 140, 236, undefined, undefined, 637501711cb69837c6530113, On Running Cloud 5, Ruby/Rust, , 
On Running Cloudultra Fluorite Hay Green White, On, 96.98412, 190, 315, undefined, undefined, 637501711cb69837c6530114, On Running Cloudultra, Hay/White, , 
On Running Cloudflow 2.0 Rock Grey Rose (W), On, 25.99778, 140, 249, undefined, undefined, 637501711cb69837c6530115, On Running Cloudflow 2.0, Rock/Rose, , 
On Running Cloudflow 3.0 Black Asphalt Grey (Wide), On, 35.99229, 140, 199, undefined, undefined, 637501711cb69837c6530116, On Running Cloudflow 3.0, Black/Asphalt, , 
On Running Cloudswift Ice Oasis Green, On, 41.98924, 150, undefined, undefined, undefined, 637501711cb69837c6530117, On Running Cloudswift, Ice/Oasis, , 
On Running Cloudgo Black Shale, On, 55.98395, 140, 314, undefined, undefined, 637501711cb69837c6530118, On Running Cloudgo, Black/Shale, , 
On Running Cloudnova Phantom White (W), On, 26.99113, 160, 345, undefined, undefined, 637501711cb69837c6530119, On Running Cloudnova, Phantom/White, , 
