shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Hoka One One Carbon X 2 Nimbus Cloud (All Gender), Hoka One One, 1123111-NCWT, 180, 344, 166, 166, 637501711cb69837c6530218, Hoka One One Carbon X 2, Nimbus Cloud/White, , 
Hoka One One Clifton Edge Moonlit Ocean Evening Primrose (W), Hoka One One, 1110511-MOEP, 160, 144, undefined, undefined, 637501711cb69837c6530219, Hoka One One Clifton Edge, Moonlit Ocean/Evening Primrose, 2020-07-01, 
Hoka One One Carbon X 2 Diva Blue Citrus (W), Hoka One One, 1113527-DBCTR, 180, 218, undefined, undefined, 637501711cb69837c653021a, Hoka One One Carbon X 2, Diva Blue/Citrus, , 
Hoka One One Zinal Evening Primrose Blue Coral, Hoka One One, 1119399-EPBC, 160, 247, undefined, undefined, 637501711cb69837c653021b, Hoka One One Zinal, Evening Primrose/Blue Coral, , 
Hoka One One Rincon Ironman (2019), Hoka One One, 1116453-EBTT, 125, undefined, undefined, undefined, 637501711cb69837c653021c, Hoka One One Rincon, Evening Blue/Tangerine Tango, 2019-01-01, 
Hoka One One Clifton Edge Green Ash, Hoka One One, 1110510-GAOS, 160, undefined, undefined, undefined, 637501711cb69837c653021d, Hoka One One Clifton Edge, Green Ash/Outer Space, 2020-07-01, 
Hoka One One Clifton 8 Yellow Pear Sweet Corn (W), Hoka One One, 1119394-YPSC, 140, 125, 116, undefined, 637501711cb69837c653021e, Hoka One One Clifton 8, Yellow Pear/Sweet Corn, , 
Hoka One One Clifton 8 Outer Space, Hoka One One, 1119393-OSVB, 130, undefined, undefined, undefined, 637501711cb69837c653021f, Hoka One One Clifton 8, Outer Space/Vallarta Blue, , 
Hoka Ora Luxe Shortbread Eggnog (All Gender), Hoka One One, 1134150-SEGG, 80, 87, 85, undefined, 637501711cb69837c6530220, Hoka Ora Luxe, Shortbread/Eggnog, , 
Hoka One One Clifton 8 Sharkskin Diva Pink, Hoka One One, 1119393-SDPK, 140, 225, undefined, undefined, 637501711cb69837c6530221, Hoka One One Clifton 8, Sharkskin/Diva Pink, , 
Hoka One One Clifton 8 Anthracite Castlerock Red (Wide), Hoka One One, 1121374-ACTL, 140, 210, 116, undefined, 637501711cb69837c6530222, Hoka One One Clifton 8, Anthracite/Castlerock, , 
Hoka One One Clifton Edge Nimbus Cloud Green Blue, Hoka One One, 1110510-NCGR, 160, undefined, undefined, undefined, 637501711cb69837c6530223, Hoka One One Clifton Edge, Nimbus Cloud/Greenbriar, 2020-07-01, 
Hoka One One Clifton Edge Black (All Gender), Hoka One One, 1126570-BLCC, 160, undefined, undefined, undefined, 637501711cb69837c6530224, Hoka One One Clifton Edge, Black/Black, 2021-11-05, 
Hoka One One Bondi 5 Opening Ceremony Black, Hoka One One, 1111597-BBLC, 190, undefined, undefined, undefined, 637501711cb69837c6530225, Hoka One One Bondi 5, Black/Black, 2019-11-01, 
Hoka One One Mach 4 Hot Coral, Hoka One One, 1113528-HCSF, 130, 184, undefined, undefined, 637501711cb69837c6530226, Hoka One One Mach 4, Hot Coral/Saffron, , 
Hoka One One Bondi 7 Blue Graphite Festival Fuchsia (W), Hoka One One, 1110519-BGFF, 160, 120, undefined, undefined, 637501711cb69837c6530227, Hoka One One Bondi 7, Blue Graphite/Festival Fuchsia, , 
Hoka One One Speedgoat 5 Blue Coral Camellia (W), Hoka One One, 1123158-BCCML, 155, 196, undefined, undefined, 637501711cb69837c6530228, Hoka One One Speedgoat 5, Blue Coral/Camellia, , 
Hoka One One Gaviota 4 Black White, Hoka One One, 1123198-BWHT, 170, 258, undefined, undefined, 637501711cb69837c6530229, Hoka One One Gaviota 4, Black/White, 2022-04-16, 
Hoka One One Clifton L Gore-Tex Avocado Green Moss (All Gender), Hoka One One, 1129972-AGMS, 160, 303, undefined, undefined, 637501711cb69837c653022a, Hoka One One Clifton L Gore-Tex, Avocado/Green Moss, , 
Hoka One One Bondi 8 Anthracite Castlerock, Hoka One One, 1123202-ACTL, 165, 95, undefined, undefined, 637501711cb69837c653022b, Hoka One One Bondi 8, Anthracite/Castlerock, , 
Hoka One One Carbon X 2 Dark Shadow Fiesta, Hoka One One, 1113526-DSFS, 180, 230, 233, undefined, 637501711cb69837c653022c, Hoka One One Carbon X 2, Dark Shadow/Fiesta, , 
Hoka One One Bondi 8 Triple Black (W), Hoka One One, 1127952-BBLC, 165, 226, undefined, undefined, 637501711cb69837c653022d, Hoka One One Bondi 8, Black/Black, , 
Hoka One One Clifton Edge Blanc de Blanc Blue Tint (W), Hoka One One, 1110511-BDBBT, 160, undefined, undefined, undefined, 637501711cb69837c653022e, Hoka One One Clifton Edge, Blanc De Blanc/Blue Tint, 2020-07-01, 
Hoka One One Carbon X 2 Impala Paradise Pink (W), Hoka One One, 1113527-IPPN, 180, 263, 141, undefined, 637501711cb69837c653022f, Hoka One One Carbon X 2, Impala/Paradise Pink, , 
Hoka One One Speedgoat 4 Together White Cyan, Hoka One One, 1106525-TGT, 145, 197, undefined, undefined, 637501711cb69837c6530230, Hoka One One Speedgoat 4, Together, 2019-11-15, 
Hoka One One Clifton Edge Turkish Sea, Hoka One One, 1110510-TSWH, 160, undefined, undefined, undefined, 637501711cb69837c6530231, Hoka One One Clifton Edge, Turkish Sea/White, 2020-07-01, 
Hoka One One Bondi 8 Shell Coral Peach Parfait (W), Hoka One One, 1127952-SCPP, 165, undefined, undefined, undefined, 637501711cb69837c6530232, Hoka One One Bondi 8, Shell Coral/Peach Parfait, , 
Hoka One One Rincon 3 Rhubarb, Hoka One One, 1119395-RFST, 120, 206, undefined, undefined, 637501711cb69837c6530233, Hoka One One Rincon 3, Rhubarb/Fiesta, , 
Hoka One One Mafate Speed 3 Moroccan Blue Saffron, Hoka One One, 1113531-MBSF, 180, 352, undefined, undefined, 637501711cb69837c6530234, Hoka One One Mafate Speed 3, Moroccan Blue/Saffron, 2021-01-01, 
Hoka One One Speedgoat 5 Coastal Shade Green Glow (W), Hoka One One, 1123158-CSGG, 155, 227, 151, undefined, 637501711cb69837c6530235, Hoka One One Speedgoat 5, Coastal Shade/Green Glow, , 
Hoka One One Bondi L Moonlit Ocean Blue (All Gender), Hoka One One, 1110538-MONC, 170, undefined, undefined, undefined, 637501711cb69837c6530236, Hoka One One Bondi L, Moonlit Ocean/Nimbus Cloud, , 
Hoka One One Clifton 8 Blanc De Blanc Purple Seafoam (W), Hoka One One, 1119394-BDBW, 140, undefined, 145, undefined, 637501711cb69837c6530237, Hoka One One Clifton 8, Blanc De Blanc/White, , 
Hoka One One Mafate Speed 4 Deep Teal Water Garden (W), Hoka One One, 1131056-DTWGR, 185, 276, undefined, undefined, 637501711cb69837c6530238, Hoka One One Mafate Speed 4, Deep Teal/Water Garden, , 
Hoka One One Bondi L Gore-Tex Stone Blue Goblin Blue (All Gender), Hoka One One, 1129973-SBGB, 180, undefined, undefined, undefined, 637501711cb69837c6530239, Hoka One One Bondi L Gore-Tex, Stone Blue / Goblin Blue, , 
Hoka One One Clifton 8 Together, Hoka One One, 1119393-TGT, 130, 224, undefined, undefined, 637501711cb69837c653023a, Hoka One One Clifton 8, Together, , 
Hoka One One Clifton Clifton Edge Geometric Paradise Pink (All Gender), Hoka One One, 1122570-PPBF, 180, 110, undefined, undefined, 637501711cb69837c653023b, Hoka One One Clifton Clifton Edge, Paradise Pink / Blue Flower, , 
Hoka One One Speedgoat 4 Black Iris Marigold, Hoka One One, 1106525-BIBM, 145, undefined, undefined, undefined, 637501711cb69837c653023c, Hoka One One Speedgoat 4, Black Iris/Bright Marigold, 2019-11-15, 
Hoka One One Carbon X 2 Moroccan Blue Hot Coral (W), Hoka One One, 1113527-MBHCR, 180, 218, undefined, undefined, 637501711cb69837c653023d, Hoka One One Carbon X 2, Moroccan Blue/Hot Coral, , 
Hoka One One Speedgoat 4 Real Teal Persimmon Orange, Hoka One One, 1106525-RTPO, 145, undefined, undefined, undefined, 637501711cb69837c653023e, Hoka One One Speedgoat 4, Real Teal/Persimmon Orange, 2019-11-15, 
Hoka One One Bondi 7 Vallarta Blue Phlox Pink (W), Hoka One One, 1110519-VBPP, 160, undefined, undefined, undefined, 637501711cb69837c653023f, Hoka One One Bondi 7, Vallarta Blue/Phlox Pink, , 
Hoka One One Ora Recovery Slide Swirl Lunar Rock Sharkskin, Hoka One One, 1126856-LRSH, 55, undefined, undefined, undefined, 637501711cb69837c6530240, Hoka One One Ora Recovery Slide, Lunar Rock/Sharkskin, , 
Hoka One One Carbon X 3 Billowing Sail (W), Hoka One One, 1123193-BSEP, 200, 292, undefined, undefined, 637501711cb69837c6530241, Hoka One One Carbon X 3, Billowing Sail/Evening Primrose, 2022-03-01, 
Hoka One One Mafate Speed 4 Camellia Peach Parfait (W), Hoka One One, 1131056-CPPF, 185, 276, undefined, undefined, 637501711cb69837c6530242, Hoka One One Mafate Speed 4, Camellia/Peach Parfait, , 
Hoka One One Mafate Speed 3 Provincal Blue Fiesta, Hoka One One, 1113530-PBSF, 180, undefined, undefined, undefined, 637501711cb69837c6530243, Hoka One One Mafate Speed 3, Provincal Blue/Fiesta, 2021-01-01, 
Hoka One One Clifton 8 Ibis Rose Pink Green (W), Hoka One One, 1119394-BGIR, 140, 149, 145, undefined, 637501711cb69837c6530244, Hoka One One Clifton 8, Blue Graphite/Ibis Rose, , 
Hoka One One Rocket X Together (All Gender), Hoka One One, 1113532-TGT, 180, 226, undefined, undefined, 637501711cb69837c6530245, Hoka One One Rocket X, Together, , 
Hoka One One Bondi L Dune Oxford Tan (All Gender), Hoka One One, 1110538-DOTN, 170, undefined, 199, undefined, 637501711cb69837c6530246, Hoka One One Bondi L, Dune/Oxford Tan, , 
Hoka One One Carbon X 2 White Blazing Orange, Hoka One One, 1113526-WBOR, 180, 218, undefined, undefined, 637501711cb69837c6530247, Hoka One One Carbon X 2, White/Blazing Orange, , 
Hoka One One Clifton Edge Nimbus Cloud Cyan, Hoka One One, 1110510-NCCYN, 160, undefined, undefined, undefined, 637501711cb69837c6530248, Hoka One One Clifton Edge, Nimbus Cloud/Cyan, 2020-07-01, 
